드라마,장항준,아직 집계 되지 않았습니다.
다큐멘터리,오윤동,관람객 평점 9.87점
액션,데이비드 F. 샌드버그,관람객 평점 6.88점
판타지,애나 릴리 아미푸르,관람객 평점 7.15점
범죄,이원태,관람객 평점 6.16점
액션,장-프랑소와 리셰,관람객 평점 7.71점
드라마,토드 필드,관람객 평점 7.81점
코미디,마크 포스터,관람객 평점 8.22점
액션,채드 스타헬스키,아직 집계 되지 않았습니다.
스릴러,러셀 크로우,관람객 평점 6.67점
코미디,이원석,아직 집계 되지 않았습니다.
액션,제임스 카메론,관람객 평점 8.82점
